instance_id,runtime,mean_delivery_time_to_customer,max_delivery_time_to_customer,mean_tour_length_for_drivers,max_tour_length_for_drivers
1,61,5.044443653223966,11.698338480343123,3.313160153281431,3.8667309345402554
2,24,4.14441417279331,7.886639648870228,3.973349189205668,13.20844265859079
3,81,3.936365179563545,5.866182088532552,4.912926395053004,7.19871147726385
4,70,4.7650489964573,8.940650043978795,4.449398179507215,12.352624562961815
5,30,5.444157803129486,8.61560284547745,1.8738664108269742,8.155372721748067
6,92,3.4640469961138454,10.199971835525872,3.408738015725974,10.998677321466788
7,96,5.284929204773309,9.471143014222724,6.861168801542204,5.857848927183243
8,84,4.930695631544801,13.602678315848586,6.355534819346683,9.15758112541974
9,84,7.268678531005087,12.095196823995167,6.3968805184219235,9.820548209014992
10,97,4.790508903391136,9.485113494320744,5.34720412732961,12.883521299255065
11,33,3.9497542977399815,7.278440259557817,6.324569027238125,15.382842529025758
12,12,8.825542542718413,13.565877179291833,5.482244325174259,11.742068625190079
13,31,1.0,12.356596373494735,4.66358982380183,10.892951345525042
14,62,7.238847223123675,17.968030273816126,7.329537291009048,6.915652688237386
15,11,6.558385269030009,10.79045812069063,4.508504625145919,5.744210610953326
16,97,2.797804487300333,14.925313348042227,3.460664452667783,10.571010954895502
17,39,7.260456387794074,11.382448900445914,7.424344684266252,10.407261488429459
18,47,5.746237829458837,10.257770414892443,7.466993609086114,11.824268986002885
19,11,4.227054098870889,5.470128153350174,1.8516894261118906,12.114943933998163
20,73,2.682459516149835,12.164507387075936,6.275905886449779,11.082770132773407
